,P1,0.16676151822835295,,,,P2,0.166594840063097,,,,P3,0.166594840063097,,,,P4,0.16676151822835295,,,,P5,0.1666436417085501,,,,P6,0.1666436417085501,,,,VOA
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*
Structure Term Similarity: x0,0.40005999999999997,-0.035149841191391695,-1.3331500274958759,-0.05329607557276866,0.0382608046289985,0.9334,0.07298021749064348,1.0,0.06082182237955331,0.1731857082780754,0.8667,0.04728538145139555,1.0,0.03488428278501188,0.14749087223882745,0.0,-0.022680855038152592,-0.6667,-0.035083716333082715,-0.05843337967986567,0.0,-0.03531868947482136,-0.6,-0.025314389101373812,-0.029644448269583012,0.0,-0.03386787460305413,0.0,-0.03917908497274645,-0.022644874438069396,0.36660198458001575
Structure Term Similarity: x1,0.40005999999999997,0.008857057019244441,0.0,-0.009289177362132521,0.0778906184572137,0.9334,0.00806932300601132,1.0,-0.004089072105078853,0.10827481379344323,0.8667,0.0209170444376241,1.0,0.00851594577124043,0.121122535225056,0.0,-0.002006213189747197,-0.6667,-0.01440907448467732,-0.07037227592773021,0.0,-0.030351576621950593,-0.6,-0.020347276248503042,-0.03144194985591703,0.0,-0.028283186057317278,0.0,-0.0335943964270096,-0.05520044360395043,0.36660198458001575
Structure Term Similarity: x2,0.40005999999999997,0.05773757260885026,0.0,0.0395913382274733,0.042276202156550174,0.9334,0.0029940567464115664,0.0,-0.009164338364678606,-0.005970310355200514,0.8667,0.0066702444296516394,1.0,-0.00573085423673203,0.10687573521708355,0.0,0.051277516858359184,0.0,0.03887465556342906,0.051277516858359184,0.0,0.018492825719799266,0.0,0.028497126093246818,0.010127222009086612,0.0,0.05166470774789039,0.0,0.04635349737819807,0.01573687739517915,0.36660198458001575
Structure Term Similarity: x3,0.40005999999999997,0.06878136003529733,0.0,0.05063512565392037,0.05346596049961849,0.9334,-0.0033321184679034332,0.642811227769445,-0.015490513578993606,0.03532850686833683,0.8667,0.011592629057057546,1.0,-0.0008084696093261234,0.11179811984448945,0.0,0.052063881166084514,0.0,0.03966101987115439,0.052063881166084514,0.0,-0.011033475466082576,0.0,-0.0010291750926350231,0.00018952469890215484,0.0,0.0510284767813351,0.0,0.045717266411642775,0.005270753320561483,0.36660198458001575
Structure Term Similarity: x4,0.40005999999999997,0.008651257816261415,-1.3331500274958759,-0.009494976565115547,0.0065250213197266815,0.9334,-0.007761108108621906,0.0,-0.01991950321971208,0.006401422115331068,0.8667,-0.012058707377426814,0.0,-0.024459806043810484,0.011204304650453856,0.0,-0.0042371620269631705,-0.13335999999999992,-0.016640023321893294,-0.009232138521441169,0.0,-0.0018148863976300555,0.0,0.008189413975817498,-0.0037561515607911766,0.0,-0.008674861650700139,0.0,-0.01398607202039246,0.0025481385142845925,0.36660198458001575
Structure Term Similarity: x5,0.40005999999999997,0.0034214894441588206,0.0,0,0.034259443679833135,0.9334,0.04042239247295493,1.0,0,0.14062788326038683,0.8667,-0.006008032217099724,1.0,0,0.09419745857033218,0.0,-0.0017943900836823734,-0.6667,0,-0.06802005758077123,0.0,0.022936198832149757,-0.6,0,-0.046027511131026766,0.0,0.0037571143843895816,0.0,0,-0.023633762436548023,0.36660198458001575
IoU Similarity: x0,0.0,-0.002212617257068228,0.0,-0.0026976433687229775,0.003030767029329029,0.6,-0.0028895966576909515,0.0,-0.0006390675498652394,0.0033362328215315595,0.0,-0.0057360516606828615,0.0,-0.0024235691674818205,0.008352700823365977,0.0,-0.003686177200214691,0.0,-0.0016714954478127728,-0.003686177200214691,0.0,0.00015625499636445772,0.0,0.0013969408823020966,-0.003038875146894271,0.0,-0.0044414705588214365,0.0,-0.0031702878558920824,0.0006828847871652721,0.09995690403785819
IoU Similarity: x1,0.0,-0.0007536995194500906,0.0,-0.0012387256311048402,0.0002772669757349633,0.6,-0.005136102043142798,0.0,-0.0028855729353170862,0.007608396860360356,0.0,-0.005289655075591204,0.0,-0.001977172582390163,0.00781868343409614,0.0,-0.006742834225938632,0.0,-0.004728152473536714,-0.006742834225938632,0.0,-0.004848375600863819,0.0,-0.00360768971492618,-0.00039521685298371523,0.0,-0.002310512135610898,0.0,-0.001039329432681544,-0.0013521216490790522,0.09995690403785819
IoU Similarity: x2,0.0,-0.0005467700620386262,0.0,-0.0010317961736933758,0.0038264183828565224,0.6,-0.00389829408054021,0.0,-0.0016477649727144978,0.004934380992144383,0.8667,-0.004073679929913865,0.0,-0.0007611974367128238,0.005167810196975431,0.0,-0.002211524306677759,0.0,-0.00019684255427584096,-0.002211524306677759,0.0,-0.0016726643097156324,0.0,-0.00043197842377799356,-0.003229975801850027,0.0,-0.0010896030752700625,0.0,0.00018157962765929158,-0.0029062448992657752,0.24434465192054433
IoU Similarity: x3,0.0,0.0032618242422567945,0.0,0.002776798130602045,0.006600501576008305,0.6,-0.004530626142173422,0.0,-0.0022800970343477096,0.006304893569272441,0.8667,-0.005473709686312833,0.0,-0.002161227193111792,0.007551071751271177,0.0,-0.0007144695225114184,0.0,0.0013002122298904997,-0.0007144695225114184,0.0,-0.004055718774876094,0.0,-0.002815032888938455,-0.0022056628517751475,0.0,0.0008053407234525078,0.0,0.002076523426381862,-0.0028408951325593623,0.24434465192054433
IoU Similarity: x4,0.0,0.003161419266228649,0.0,0.0026763931545738993,0.0005267528473592575,0.6,0.002951444276593107,0.0,0.005201973384418819,-0.005096132701143341,0.8667,0.0006982013932945175,0.0,0.0040106838864955585,-0.0012203750858915119,0.0,0.001266914740930991,0.0,0.003281596493332909,0.001266914740930991,0.0,0.002976388373465255,0.0,0.0042170742594028945,0.0001413471578519676,0.0,-0.0005908511713262343,0.0,0.0006803315316031198,0.003420596419399291,0.24434465192054433
IoU Similarity: x5,0.0,-0.0040021919485594415,0.0,0,-0.0016438341984234828,0.6,-0.00526307631360734,0.0,0,0.007773242711245187,0.0,-0.006005417950177727,0.0,0,0.008849341562628399,0.0,-0.007740662899779371,0.0,0,-0.007740662899779371,0.0,-0.005310673402872668,0.0,0,-0.0010436111317030372,0.0,-0.005686405463769584,0.0,0,-0.0036096842563030362,0.09995690403785819
Contour Match Similarity: x0,0.0,-0.0011458463305305533,0.0,0.001761325210412288,0.023007804586302166,0.9334,-0.0003792968073205727,0.0,-3.5938850756191576e-05,0.0004041171985615377,0.8667,-0.0014665955046608281,0.0,-0.00028754756621782174,0.0015978552137281277,0.0,-0.0013645139386835314,0.0,-0.00040830606552948634,-0.0013645139386835314,0.0,-1.4855487279086255e-05,0.0,0.00010315900810637751,-0.0004513553132781123,0.0,-0.008536287169424783,0.0,-0.005054581618614181,-0.009440327765209588,0.2998873715975809
Contour Match Similarity: x1,0.0,-0.004369839245819074,0.0,-0.0014626677048762324,-0.00011671963213688574,0.6,-0.00021193061851071393,0.0,0.00013142733805366719,0.0003108425922085378,0.8667,-0.0013680010035931334,0.0,-0.000188953065150127,0.0020359219232171655,0.0,-0.0010476909589389738,0.0,-9.14830857849287e-05,-0.0010476909589389738,0.0,-0.00021212504078460537,0.0,-9.41105453991416e-05,0.0002910121851119607,0.0,-0.0028614676142532103,0.0,0.0006202379365573916,-0.0017191402846728487,0.24434465192054433
Contour Match Similarity: x2,0.0,-0.0034840898485934413,0.0,-0.0005769183076505999,0.0032313085744376524,0.9334,-0.0011929679267396187,0.0,-0.0008496099701752375,0.0016485074502033403,0.8667,-0.002337634690647683,0.0,-0.0011585867522046767,0.003241717802065447,0.0,-0.0028266110401434785,0.0,-0.0018704031669894334,-0.0028266110401434785,0.0,-0.00019629024870965184,0.0,-7.827575332418807e-05,-0.00021190128342879477,0.0,-0.005785860675742438,0.0,-0.002304155124931836,-0.008193805220588324,0.2998873715975809
Contour Match Similarity: x3,0.0,-0.008953150139289323,0.0,-0.006045978598346482,0.0016011233854581475,0.6,-0.0001909356282471797,0.0,0.00015242232831720143,0.0002455831039400169,0.8667,-0.001832723595279806,0.0,-0.0006536756568367996,0.0026493525560637443,0.0,-0.0006543251549797624,0.0,0.0003018827181742827,-0.0006543251549797624,0.0,-0.00042025715478127834,0.0,-0.00030224265939581457,-0.00020192337795688076,0.0,-0.0012767607891425725,0.0,0.0022049447616680293,0.00048177823074402326,0.24434465192054433
Contour Match Similarity: x4,0.0,0.0005098963185753425,0.0,0.003417067859518184,0.0008969621529480443,0.9334,-8.501675856820157e-05,0.0,0.00025834119799617955,-0.00011117653146547335,0.8667,-6.933283647658772e-05,0.0,0.0011097151019664186,0.0002852730477173604,0.0,0.00015589385382147602,0.0,0.0011121017269755211,0.00015589385382147602,0.0,0.0001354409592418393,0.0,0.00025345545462730307,-0.00012911533437964806,0.0,-0.0024298570563006106,0.0,0.0010518484945099913,0.000545027974544865,0.2998873715975809
Contour Match Similarity: x5,0.0,-0.0018398729767493127,0.0,0,-0.00021551449281365098,0.6,-0.0001960160304323444,0.0,0,0.00028519783055752645,0.8667,-0.000952105916973589,0.0,0,0.0014086667723213209,0.0,-0.0012355901885488518,0.0,0,-0.0012355901885488518,0.0,0.00015876001242726145,0.0,0,0.0005147627176245173,0.0,-0.0009249567597882646,0.0,0,-7.744317013985702e-05,0.24434465192054433
