,P1,,,,,,,,,,,,,,,,,P2,,,,,,,,,,,,,,,,,P3,,,,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,,,,P5,,,,,,,,,,,,,,,,,P6,,,,,,,,,,,,,,,,,VOA
sensor conf.,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b
Structure Term Similarity: x0,G2,0.53334,0.4000928623850128,G1,0.0,0.3649430211936211,G4,0.9334,0.5756753042379019,G4,0.9334,0.16676151822835295,0.6167509151895242,0.20775230956004193,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.61675092 0.02444925 0.17665294 0.09956126 0.0318824  0.05070323],[0.20775231 0.20868128 0.17408269 0.08934866 0.12340006 0.196735  ],G2,0.0,0.4000928623850128,G3,0.9334,0.4730730798756563,G3,0.9334,0.64281762378032,G3,0.9334,0.166594840063097,0.5570852858453911,0.1735088905863113,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.04095729 0.55708529 0.14172634 0.08429192 0.0821957  0.09374346],[0.13356637 0.17350889 0.35897067 0.08265478 0.13004624 0.12125305],G2,0.0,0.4000928623850128,G3,0.8667,0.44737824383640834,G3,0.8667,0.6011335170874315,G3,0.8667,0.166594840063097,0.5942077230378228,0.30186440922533425,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.19268206 0.0922795  0.59420772 0.05613536 0.02825382 0.03644154],[0.15658127 0.19900617 0.30186441 0.08165892 0.10141868 0.15947055],G2,0.6667,0.4000928623850128,G3,0.0,0.3774120073468602,G2,0.6667,0.5364517912830153,G2,0.6667,0.16676151822835295,0.617098515960605,0.08632120249832997,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.15397205 0.0778165  0.07959167 0.61709852 0.03255797 0.03896329],[0.18733659 0.20930961 0.21004086 0.0863212  0.12066826 0.18632348],G2,0.6,0.4000928623850128,G3,0.0,0.36477417291019143,G1,0.6,0.5644464666928669,G1,0.6,0.1666436417085501,0.7092532802280369,0.20717302116135738,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.03142167 0.04835726 0.02552907 0.02074838 0.70925328 0.16469034],[0.16188707 0.17689414 0.23036943 0.08131841 0.20717302 0.14235793],G2,0.6,0.4000928623850128,G1,0.6,0.36622498778195867,G1,0.6,0.5418701579404119,G1,0.6,0.1666436417085501,0.6294971219228497,0.21120624117284634,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.05652001 0.06237948 0.03724284 0.02808476 0.18627578 0.62949712],[0.20419031 0.20354385 0.17470694 0.09655959 0.10979307 0.21120624],0.36660198458001575
Structure Term Similarity: x1,G2,0.53334,0.4000928623850128,G2,0.53334,0.40894991940425723,G4,0.9334,0.5789539618295179,G4,0.9334,0.16676151822835295,0.6202635117093613,0.2502097916986912,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.62026351 0.04395869 0.17625834 0.09495401 0.02733747 0.03722797],[0.25020979 0.11805045 0.18886254 0.14657723 0.14963161 0.14666838],G2,0.0,0.4000928623850128,G3,0.9334,0.4081621853910241,G3,0.9334,0.6543251771034658,G3,0.9334,0.166594840063097,0.5596385432209023,0.18887471650978643,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.06930577 0.55963854 0.15225402 0.11989332 0.04587994 0.0530284 ],[0.13594432 0.18887472 0.26752801 0.12117447 0.16523893 0.12123956],G2,0.0,0.4000928623850128,G3,0.8667,0.4210099068226369,G3,0.8667,0.5861678345011788,G3,0.8667,0.166594840063097,0.5681930300216557,0.28856178467092986,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.18325109 0.10040169 0.56819303 0.08531084 0.02926303 0.03358032],[0.14231048 0.18310843 0.28856178 0.1178512  0.15023989 0.11792821],G2,0.6667,0.4000928623850128,G3,0.0,0.3980866491952656,G2,0.6667,0.4960265884744626,G2,0.6667,0.16676151822835295,0.5665698206781683,0.12513622607333416,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.1330274  0.10653643 0.11495693 0.56656982 0.03577234 0.04313709],[0.16841532 0.17733382 0.26833191 0.12513623 0.13557409 0.12520864],G2,0.6,0.4000928623850128,G3,0.0,0.3697412857630622,G2,0.6,0.561865611057778,G1,0.6,0.1666436417085501,0.6449245655547632,0.17003687112353627,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.03024606 0.0321965  0.03114102 0.02825075 0.64492457 0.2332411 ],[0.15824322 0.18101883 0.23165837 0.12947988 0.17003687 0.12956283],G2,0.6,0.4000928623850128,G2,0.6,0.3718096763276955,G2,0.6,0.5492408480950784,G1,0.6,0.1666436417085501,0.5623690649264451,0.13870801836858898,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.04725585 0.04269432 0.04099908 0.03908492 0.26759676 0.56236906],[0.19942844 0.1445187  0.22905356 0.13863459 0.1496567  0.13870802],0.36660198458001575
Structure Term Similarity: x2,G2,0.53334,0.4000928623850128,G2,0.53334,0.45783043499386306,G4,0.9334,0.5370387663520999,G4,0.9334,0.16676151822835295,0.5753575812643025,0.21205421391782173,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.57535758 0.08453892 0.143926   0.07754844 0.04611315 0.07251592],[0.21205421 0.13396515 0.09903208 0.17637641 0.17015028 0.20842187],G2,0.0,0.4000928623850128,G2,0.0,0.40308691913142436,G3,0.9334,0.6114067574898705,G3,0.9334,0.166594840063097,0.5221522875575765,0.17399750194551641,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.11202563 0.52215229 0.14310582 0.05589326 0.07132468 0.09549833],[0.17135383 0.1739975  0.15173393 0.14914875 0.18484948 0.16891652],G2,0.0,0.4000928623850128,G3,0.8667,0.40676310681466443,G3,0.8667,0.6096388359212707,G3,0.8667,0.166594840063097,0.5775735656661283,0.2964795263963227,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.15571259 0.11683718 0.57757357 0.05400281 0.03482449 0.06104937],[0.12658053 0.16049314 0.29647953 0.12025636 0.16207107 0.13411937],G2,0.6667,0.4000928623850128,G2,0.6667,0.451370379243372,G2,0.6667,0.5496688897586438,G2,0.6667,0.16676151822835295,0.6065087657468936,0.17626099179674007,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.11651039 0.06337097 0.07499347 0.60650877 0.05087543 0.08774098],[0.19993967 0.14487703 0.10022005 0.17626099 0.1731745  0.20552776],G2,0.6,0.4000928623850128,G2,0.6,0.41858568810481206,G1,0.6,0.5468794053868192,G1,0.6,0.1666436417085501,0.6153845557371118,0.2032632765147434,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.0497491  0.05806838 0.03472648 0.0365323  0.61538456 0.20553918],[0.16958557 0.15243247 0.14825667 0.15447896 0.20326328 0.17198305],G2,0.6,0.4000928623850128,G2,0.6,0.4517575701329032,G2,0.6,0.5072715857033268,G1,0.6,0.1666436417085501,0.46535866374135987,0.20908406022747356,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.08616939 0.08563568 0.06705272 0.06939537 0.22638819 0.46535866],[0.19677976 0.13581382 0.10914109 0.17762903 0.17155223 0.20908406],0.36660198458001575
Structure Term Similarity: x3,G2,0.53334,0.4000928623850128,G2,0.53334,0.4688742224203101,G4,0.9334,0.5711026059511708,G4,0.9334,0.16676151822835295,0.6118519455230028,0.22404238441607363,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.61185195 0.06464056 0.14920976 0.07647076 0.03719019 0.06063678],[0.22404238 0.11258455 0.10262175 0.19389302 0.16656956 0.20028874],G2,0.0,0.4000928623850128,G1,0.6,0.39676074391710936,G3,0.9334,0.6427485614648734,G3,0.9334,0.166594840063097,0.5592986567072475,0.18238056368722363,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.09271887 0.55929866 0.13926295 0.06459408 0.0603807  0.08374475],[0.13229381 0.18238056 0.19035636 0.14475174 0.21455485 0.13566267],G2,0.0,0.4000928623850128,G3,0.8667,0.41168549144207034,G3,0.8667,0.6177043781492851,G3,0.8667,0.166594840063097,0.5999982802854268,0.2920578493770309,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.16083798 0.10465596 0.59999828 0.05438487 0.03052419 0.04959872],[0.12279125 0.16987246 0.29205785 0.12768618 0.16715355 0.12043871],G2,0.6667,0.4000928623850128,G2,0.6667,0.4521567435510973,G2,0.6667,0.5445790559383475,G2,0.6667,0.16676151822835295,0.61534056102058,0.19436741294720666,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.11823689 0.06962854 0.07800894 0.61534056 0.04496904 0.07381603],[0.197139   0.13218684 0.11392362 0.19436741 0.16889584 0.19348729],G2,0.6,0.4000928623850128,G1,0.6,0.3890593869189302,G1,0.6,0.55710680537547,G1,0.6,0.1666436417085501,0.656346259805699,0.1983582878294034,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.03867796 0.04377946 0.02945018 0.03024762 0.65634626 0.20149852],[0.14427719 0.1723658  0.19056444 0.15054956 0.19835829 0.14388472],G2,0.6,0.4000928623850128,G2,0.6,0.4511213391663479,G2,0.6,0.5212022899947091,G1,0.6,0.1666436417085501,0.49550973822302713,0.1954634442394709,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.0752496  0.07245404 0.05710146 0.05924629 0.24043888 0.49550974],[0.1972053  0.12297128 0.12457839 0.19185674 0.16792485 0.19546344],0.36660198458001575
Structure Term Similarity: x4,G2,0.53334,0.4000928623850128,G1,0.0,0.4087441202012742,G4,0.9334,0.5298744474285793,G4,0.9334,0.16676151822835295,0.5676820735253688,0.17375211317127848,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.56768207 0.03100092 0.15869766 0.09048421 0.05080797 0.10132717],[0.17375211 0.18688538 0.13186194 0.11832359 0.202681   0.18649598],G2,0.0,0.4000928623850128,G2,0.0,0.3923317542763909,G3,0.9334,0.544979604928335,G3,0.9334,0.166594840063097,0.4410292668081076,0.18332892879026783,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.03626942 0.44102927 0.15382818 0.06552059 0.13870667 0.16464587],[0.18694575 0.18332893 0.15595889 0.12543104 0.16544311 0.18289228],G2,0.0,0.4000928623850128,G2,0.0,0.388034155007586,G3,0.8667,0.5644138788233941,G3,0.8667,0.166594840063097,0.5034780602112042,0.1657176297557254,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.16558102 0.13718603 0.50347806 0.07932129 0.05059447 0.06383913],[0.1939755  0.17941312 0.16571763 0.12058489 0.1614044  0.17890446],G2,0.6667,0.4000928623850128,G1,0.53334,0.3958557003580496,G2,0.6667,0.5504766509781418,G2,0.6667,0.16676151822835295,0.6816145692966659,0.13914054874633003,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.10082168 0.06240119 0.08470926 0.68161457 0.02963028 0.04082303],[0.18541099 0.2040631  0.13937099 0.13914055 0.12790101 0.20411335],G2,0.6,0.4000928623850128,G2,0.6,0.39827797598738274,G1,0.6,0.5423631411596811,G1,0.6,0.1666436417085501,0.7122681940164872,0.16042345663123375,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.0477312  0.11137863 0.04555474 0.02498188 0.71226819 0.05808535],[0.20033375 0.18433277 0.14371603 0.12685907 0.16042346 0.18433493],G2,0.6,0.4000928623850128,G1,0.6,0.39141800073431265,G1,0.6,0.4951530491581692,G1,0.6,0.1666436417085501,0.5786087283507921,0.20537887358875115,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.1062919  0.14762471 0.06418317 0.03843248 0.06485901 0.57860873],[0.17948229 0.20592869 0.15321531 0.134465   0.12152984 0.20537887],0.36660198458001575
Structure Term Similarity: x5,G2,0.53334,0.4000928623850128,G2,0.53334,0.4035143518291716,G4,0.9334,0.5447314069644524,G4,0.9334,0.16676151822835295,0.5835991075256615,0.2034654433192391,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.58359911 0.03571297 0.19007897 0.13446656 0.02477041 0.03137198],[0.20346544 0.11960937 0.20264132 0.15633838 0.1614149  0.15653059],G2,0.0,0.4000928623850128,G3,0.9334,0.4405152548579677,G3,0.9334,0.6481217555362039,G3,0.9334,0.166594840063097,0.5710742115104662,0.19648718284739047,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.06603769 0.57107421 0.13278076 0.14583112 0.03555778 0.04871844],[0.10763562 0.19648718 0.29665873 0.112266   0.17456583 0.11238665],G2,0.0,0.4000928623850128,G3,0.8667,0.39408483016791307,G3,0.8667,0.5407964640232579,G3,0.8667,0.166594840063097,0.5400867787553916,0.296143090567941,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.20618205 0.07789078 0.54008678 0.11907043 0.02620762 0.03056234],[0.14456155 0.14722264 0.29614309 0.13066852 0.15058222 0.13082198],G2,0.6667,0.4000928623850128,G3,0.0,0.3982984723013304,G2,0.6667,0.47159293696992133,G2,0.6667,0.16676151822835295,0.5083864252415436,0.12833761938707153,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.17869024 0.10480232 0.14587259 0.50838643 0.02873279 0.03351563],[0.15275848 0.20422364 0.23961708 0.12833762 0.14657553 0.12848765],G2,0.6,0.4000928623850128,G3,0.0,0.42302906121716255,G2,0.6,0.5687365853719444,G1,0.6,0.1666436417085501,0.6388867055139046,0.16695474001711547,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.02950888 0.02290806 0.02878262 0.02575792 0.63888671 0.25415582],[0.12789488 0.18592753 0.28785544 0.1156235  0.16695474 0.11574392],G2,0.6,0.4000928623850128,G2,0.6,0.4038499767694024,G2,0.6,0.5566252838602719,G1,0.6,0.1666436417085501,0.5751105690962621,0.16527040171044816,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.04108259 0.03450193 0.03689655 0.03302758 0.27938077 0.57511057],[0.17306789 0.12617244 0.19986635 0.16506685 0.17055607 0.1652704 ],0.36660198458001575
IoU Similarity: x0,G2,0.53334,0.4000928623850128,G2,0.53334,0.39788024512794457,G2,0.53334,0.39632447338623067,G4,0.9334,0.16676151822835295,0.24913386660137804,0.17000853668702987,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.24913387 0.15984582 0.1707674  0.16941032 0.12458342 0.12625917],[0.17000854 0.16856234 0.16740998 0.16186518 0.16423465 0.1679193 ],G2,0.0,0.4000928623850128,G2,0.0,0.39720326572732184,G1,0.6,0.40231947175098604,G3,0.9334,0.166594840063097,0.25862715689042964,0.1659226221511676,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.16626898 0.25862716 0.14665497 0.14890723 0.14035336 0.1391883 ],[0.17008128 0.16592262 0.17116814 0.16184922 0.16591979 0.16505894],G2,0.0,0.4000928623850128,G2,0.0,0.39435681072432993,G2,0.0,0.3650821416212231,G3,0.8667,0.166594840063097,0.251017218230207,0.1737386151457465,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.17240279 0.14233974 0.25101722 0.18873597 0.12237508 0.1231292 ],[0.16368925 0.16891024 0.17373862 0.16278331 0.1629153  0.16796329],G2,0.6667,0.4000928623850128,G2,0.6667,0.3964066851847981,G2,0.6667,0.40433268688759616,G2,0.6667,0.16676151822835295,0.25292304800342785,0.1628912409809286,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.17198695 0.14533208 0.18978897 0.25292305 0.12000789 0.11996106],[0.1646469  0.1693455  0.16979249 0.16289124 0.16491776 0.16840611],G2,0.6,0.4000928623850128,G2,0.6,0.40024911738137725,G2,0.6,0.43330187621468075,G1,0.6,0.1666436417085501,0.26910736325587753,0.17078072235570088,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.13476194 0.1459553  0.13111749 0.12786779 0.26910736 0.19119011],[0.17222465 0.16488238 0.16681802 0.16116722 0.17078072 0.16412701],G2,0.6,0.4000928623850128,G2,0.6,0.39565139182619136,G2,0.6,0.43364595913621884,G1,0.6,0.1666436417085501,0.2687420893615311,0.17118840453526868,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.13638922 0.14454727 0.13174642 0.1276444  0.1909306  0.26874209],[0.1618986  0.1702558  0.17059802 0.16425561 0.16180356 0.1711884 ],0.09995690403785819
IoU Similarity: x1,G2,0.53334,0.4000928623850128,G2,0.53334,0.3993391628655627,G2,0.53334,0.3909396547091463,G4,0.9334,0.16676151822835295,0.24829652320021095,0.16705856877017314,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.24829652 0.16670179 0.17303215 0.16988708 0.12093485 0.1211476 ],[0.16705857 0.16505817 0.16938612 0.16704445 0.1645122  0.16694048],G2,0.0,0.4000928623850128,G2,0.0,0.39495676034187,G1,0.6,0.39414959639413155,G3,0.9334,0.166594840063097,0.25935746002495025,0.1694450327110677,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.17447651 0.25935746 0.15153341 0.15368215 0.130167   0.13078347],[0.16240881 0.16944503 0.17230388 0.16240301 0.17114525 0.16229401],G2,0.0,0.4000928623850128,G2,0.0,0.3948032073094216,G2,0.0,0.3611383426544808,G3,0.8667,0.166594840063097,0.25219279438542586,0.1727300198512612,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.17609922 0.14734735 0.25219279 0.18892359 0.11781024 0.11762681],[0.16222045 0.16927464 0.17273002 0.16221315 0.17145595 0.16210579],G2,0.6667,0.4000928623850128,G2,0.6667,0.39335002815907416,G2,0.6667,0.40253510334579784,G2,0.6667,0.16676151822835295,0.25241420958394406,0.16359748994376996,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.17270444 0.14926909 0.18871165 0.25241421 0.1187561  0.11814451],[0.16360759 0.16990162 0.17452479 0.16359749 0.16487657 0.16349195],G2,0.6,0.4000928623850128,G2,0.6,0.395244486784149,G2,0.6,0.44272377449209066,G1,0.6,0.1666436417085501,0.27015842083481245,0.17108684814648586,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.13176909 0.13550841 0.12612886 0.12728429 0.27015842 0.20915093],[0.16258833 0.16937828 0.17189105 0.16258208 0.17108685 0.16247341],G2,0.6,0.4000928623850128,G2,0.6,0.3977823502494019,G2,0.6,0.44240078077077305,G1,0.6,0.1666436417085501,0.27015256158756656,0.16584551812238227,[0.16676152 0.16659484 0.16659484 0.16676152 0.16664364 0.16664364],[0.13199803 0.13614723 0.12592975 0.12662603 0.2091464  0.27015256],[0.16596283 0.16730199 0.16973715 0.1659507  0.16520182 0.16584552],0.09995690403785819
